SRR1636747	Carter_Meadow
SRR6375491	Hung_2014
SRR6375490	Hung_2039
SRR6375489	IA043_cryo
SRR6375488	JEL240
SRR6375487	IA_11
SRR6375486	IA_13No17
SRR6375485	JEL261
SRR6375484	JEL270
SRR6375483	11.OZ
SRR6375482	09.OZ
SRR6375481	08MG05
SRR6375480	08MG02
SRR6375479	711.1
SRR6375478	0710-1
SRR6375477	07.OZ
SRR6375476	06.OZ
SRR6375473	TW16-164
SRR6375475	03.OZ
SRR6375474	02.OZ
SRR6375472	TW16-206
SRR6375471	TW16-279
SRR6375470	TER_3.1
SRR6375469	TER_4.2
SRR6375468	TW16-050
SRR6375467	SWED-40.5.17
SRR6375466	SWED-40.5.22
SRR6375465	SWISS_IT1
SRR6375464	TER_1.1
SRR6375463	FG32
SRR6375462	FG184
SRR6375461	CMT5
SRR6375460	CMT3
SRR6375459	CM22
SRR6375458	CM21
SRR6375457	BdNL1
SRR6375456	BdBE6
SRR6375455	BdBE4
SRR6375454	BdBE3
SRR6375453	SWED-40.5.14
SRR6375452	CCB1
SRR6375451	739
SRR6375450	TW16-295
SRR6375449	TW16-293
SRR6375448	TW16-292
SRR6375447	TW16-280
SRR6375446	VA02
SRR6375445	UKTVB
SRR6375444	TW16-519
SRR6375443	TW16-304
SRR6375442	BdBE1
SRR6375441	BdBE2
SRR6375440	BdBE5
SRR6375439	ANS_13No10
SRR6375438	AoCH15_B
SRR6375437	Arlet.a_15
SRR6375436	BAV_BRUCH_1
SRR6375435	BAV_OBER_1
SRR6375434	BAV_OBER_2
SRR6375433	BAV_OBER_3
SRR643698	MAL05_GB
SRR643904	LHURS8_CH
SRR643905	TORO1_ES
SRR643906	BR1_CH
SRR643907	CHAL3_CH
SRR643908	CH4_CH
SRR643909	HER3_CH
SRR643910	RAS3_CH
SRR643911	SCH_CH
SRR643912	STR3_CH
SRR643913	VOR3_CH
SRR6375588	SA-EC3
SRR6375587	SA-EC5
SRR6375586	KB72
SRR6375585	KB347
SRR6375584	KBO_317
SRR6375583	KBO_319
SRR6375582	KBO_327
SRR6375581	KRBOOR_317
SRR6375580	KRBOOR_323
SRR6375579	KRBOOR_331
SRR6375578	Acherito.c_15
SRR6375577	49.OZ
SRR6375576	45.OZ
SRR6375575	44.OZ
SRR6375574	47.OZ
SRR6375571	CLFT136
SRR6375573	46.OZ
SRR6375572	41.OZ
SRR6375570	40.OZ
SRR6375569	43.OZ
SRR6375567	CLFT071
SRR6375568	42.OZ
SRR6375566	CLFT144
SRR6375565	CLFT067
SRR6375564	CLFT065
SRR6375563	CLFT061
SRR6375562	38.OZ
SRR6375561	39.OZ
SRR6375560	36.OZ
SRR6375559	37.OZ
SRR6375558	34.OZ
SRR6375557	35.OZ
SRR6375556	30.OZ
SRR6375553	DB8.2
SRR6375555	33.OZ
SRR6375554	25.OZ
SRR6375552	28.OZ
SRR6375551	SA-NC5
SRR6375550	HR1
SRR6375549	CCB15
SRR6375548	DB8-4
SRR6375547	MC58
SRR6375546	SA3e
SRR6375545	HR5
SRR6375544	LM2
SRR6375543	SA5c
SRR6375542	SA6e
SRR6375541	24.OZ
SRR6375540	23.OZ
SRR6375539	15.OZ
SRR6375538	14.OZ
SRR6375537	13.OZ
SRR6375536	12.OZ
SRR6378457	IA_13No13_60
SRR6378456	IA_13No13_48
SRR6378454	Arlet.K_15
SRR6378449	PENNEWT
SRR6378453	Ansabere.6.1_15
SRR6378452	Acherito.d_15
SRR6378451	UKBEL
SRR6378450	IA_13No1
SRR6378455	IA_12No9
SRR6378448	picosAo1
SRR6378447	PUITS_12No8
SRR6378446	IA_12No12
SRR6378445	IA_12No10
SRR6378444	IA_12No1
SRR6378443	IA042_Low_passage
SRR6378442	IA_12No8
SRR6378441	IA_12No5
SRR6378440	IA_12No4
SRR6378439	IA_12No3
SRR6378438	UKBER
SRR6378437	PUITS_12No4
SRR6378436	UKMAB
SRR6378435	PUITS_12No3
SRR6378434	PUITS_12No7
SRR6378433	PUITS_12No5
SRR6378432	Acherito.4.1_15
SRR6378431	Acherito.5.2_15
SRR6378430	IA12
SRR6378429	CORN1
SRR6378428	CORN1B
SRR6378427	ADMALA
SRR6378426	PNP15152
SRR6378425	PNP15156
SRR6378424	Acherito.1.2_15
SRR6378423	Acherito.3.1_15
SRR6378422	Lhurs_13No2
SRR6378421	Lhurs_13No4
SRR6378420	Lhurs_13No13
SRR6378419	Lhurs_13No14
SRR6378418	LHURS_11No8
SRR6378417	Lhurs_13No11
SRR6378416	IA_13No8
SRR6378415	LHURS_11No11
SRR6378414	IA_13No12
SRR6378413	IA_13No6
SRR6378412	IA042_Highly_passaged
SRR6378411	Arlet_13No8
SRR6378410	Arlet_13No6
SRR6378409	Arlet_13No4
SRR6378408	Arlet_13No2
SRR6378407	Arlet_13No1
SRR6378406	ANS_13No7
SRR6378405	ANS_13No4
SRR6378404	ANS_13No12
SRR6378403	ANS_13No1
SRR7825135	Bd_RTP5
SRR7825134	Bd_RTP6
SRR7825133	Bd_JEL253
SRR7825132	Bd_Aus1
SRR7825131	Bd_Aus2
SRR7825130	Bd_Aus3
SRR7825129	Bd_Aus4
SRR7825128	Bd_Aus5
SRR7825127	Bd_Aus6
SRR7825126	Bd_Aus8
SRR7825125	Bd_Aus9
SRR10698381	CLFT068
SRR10698382	CLFT063
SRR10698383	CLFT062
SRR10698384	CLFT060
SRR10698385	CLFT048
SRR10698386	UM721
SRR10698387	CLFT167
SRR10698388	CLFT166
SRR10698389	CLFT165
SRR10698390	CLFT163
SRR10698391	CLFT160
SRR10698392	CLFT045
SRR10698393	CLFT157
SRR10698394	CLFT156
SRR10698395	CLFT152
SRR10698396	CLFT148
SRR10698397	CLFT139
SRR10698398	CLFT138
SRR10698399	CLFT133
SRR10698400	CLFT132
SRR10698401	CLFT131
SRR10698402	CLFT130
SRR10698403	CLFT044
SRR10698404	CLFT129
SRR10698405	CLFT126
SRR10698406	CLFT123
SRR10698407	CLFT120
SRR10698408	CLFT114
SRR10698409	CLFT111
SRR10698410	CLFT107
SRR10698411	CLFT101
SRR10698412	CLFT100
SRR10698413	CLFT097
SRR10698414	CLFT043
SRR10698415	CLFT095
SRR10698416	CLFT088
SRR10698417	CLFT086
SRR10698418	CLFT085
SRR10698419	CLFT082
SRR10698420	CLFT080
SRR10698421	CLFT078
SRR10698422	CLFT075
SRR10698423	CLFT073
SRR10698424	CLFT070
SRR10698425	CLFT039
SRR10698426	CLFT037
CAE2	CAE2
NTA6	NTA6
SA152	SA152
SA186	SA186
SA190	SA190
SA211	SA211
SA243	SA243
SA266	SA266
SA280	SA280
SA286	SA286
SA546	SA546
TRBOMB	TRBOMB
TRGSCM.12-CAE2	TRGSCM.12-CAE2
